Account Name,Settle CCY,Swap ID,Reference Account ID,Settle Date,Cancel,ISIN,RIC,Security Description,Open Trade,Close Trade,Open Quantity,Close Quantity,Open Price,Close Price,Open Trade Value,Close Trade Value,Gross PnL,Open Commission,Close Commission,Net PnL
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100005B03,688331.SS,REMEGEN CO LTD COM STK CNY,519113558,529899030,(2647),2647,3.7273,4.7355,(9866.29),12534.95,(2668.66),0.00,0.00,(2668.66)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100005B03,688331.SS,REMEGEN CO LTD COM STK CNY,519492120,529899030,(12812),12812,3.7243,4.7355,(47715.21),60671.63,(12956.42),0.00,0.00,(12956.42)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100005B03,688331.SS,REMEGEN CO LTD COM STK CNY,518823876,529899030,(9250),9250,3.7294,4.7355,(34497.04),43803.66,(9306.62),0.00,0.00,(9306.62)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE000001FR7,600547.SS,SHANDONG GOLD MINING CO LTD COM STK CNY,527280062,529898891,(2200),2200,3.6205,4.0531,(7965.03),8916.77,(951.74),0.00,0.00,(951.74)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cncelled,CNE100003LY6,688188.SS,Shanghai BOCHU Electronic Tech COM STK C,528282368,529901875,(2096),2096,22.6059,29.5141,(47381.88),61861.53,(14479.64),0.00,0.00,(14479.64)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cncelled,CNE100003LY6,688188.SS,Shanghai BOCHU Electronic Tech COM STK C,524339431,529901875,(3240),3240,22.0194,29.5141,(71342.83),95625.64,(24282.81),0.00,0.00,(24282.81)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100003LY6,688188.SS,Shanghai BOCHU Electronic Tech COM STK C,524339431,531235764,(3240),3240,22.0194,29.5141,(71342.83),95625.64,(24282.81),0.00,0.00,(24282.81)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100003LY6,688188.SS,Shanghai BOCHU Electronic Tech COM STK C,528282368,531235764,(2096),2096,22.6059,29.5141,(47381.88),61861.53,(14479.64),0.00,0.00,(14479.64)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100003LY6,688188.SS,Shanghai BOCHU Electronic Tech COM STK C,524339431,529901875,3240,(3240),22.0194,29.5141,71342.83,(95625.64),24282.81,0.00,0.00,24282.81
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100003LY6,688188.SS,Shanghai BOCHU Electronic Tech COM STK C,528282368,529901875,2096,(2096),22.6059,29.5141,47381.88,(61861.53),14479.64,0.00,0.00,14479.64
